---- ukapsv01
13:59:49,406 \screen\at\correctionofdailyperformance\calcTime
13:59:55,414 \screen\at\correctionofdailyperformance\addAndUpdate
13:59:57,810 \screen\at\correctionofdailyperformance\loadRow
13:59:59,970 \screen\at\correctionofdailyperformance\execMonthlyAggregateAsync
14:00:05,616 \screen\at\correctionofdailyperformance\loadRow
14:00:32,162 \screen\at\correctionofdailyperformance\calcTime
14:00:40,602 \screen\at\correctionofdailyperformance\calcTime
14:00:47,284 \screen\at\correctionofdailyperformance\calcTime


---- ukapsv04
13:50:04,676 \screen\at\schedule\change-month
13:51:07,054 \screen\at\ktg26\extractOvertime
13:51:14,730 \screen\at\correctionofdailyperformance\startScreen
13:51:58,102 \screen\at\schedule\start
13:52:51,411 \screen\at\monthlyperformance\startScreen
13:55:21,006 \screen\at\ktg26\extractOvertime
13:56:47,104 \at\request\application\getStartPC
13:57:40,436 \screen\at\ktg26\extractOvertime
13:58:08,524 \screen\ksu\ksu002\getPlansResults
13:58:30,421 \screen\ksu\ksu002\getPlansResults
13:58:51,850 \screen\at\mobile\ccgs08\overtime\toppage
13:58:52,959 \screen\at\mobile\ccgs08\overtime\toppage
13:59:45,075 \screen\at\kdw013\a\register-work-content
13:59:58,030 \at\request\application\workchange\changeAppDate
14:00:04,833 \screen\at\correctionofdailyperformance\startScreen
14:00:33,653 \screen\ksu\ksu002\getPlansResults
14:00:41,230 \at\request\application\getStartPC
14:00:42,600 \at\request\application\overtime\start
14:00:46,739 \at\request\application\getStartPC
14:00:51,180 \at\request\application\getStartPC
14:00:53,019 \at\request\application\changeAppDate
14:00:54,637 \at\request\application\stamp\changeAppDateMobile
14:00:56,326 \screen\ksu\ksu002\getPlansResults


---- ukapsv05
13:51:08,159 \screen\at\overtimehours\getEmployeesOvertimeData
13:51:33,750 \screen\at\overtimehours\getEmployeesOvertimeData
13:51:54,132 \screen\ksu\ksu002\getPlansResults
13:52:09,921 \screen\ksu\ksu002\getPlansResults
13:52:27,869 \screen\ksu\ksu002\getPlansResults
13:52:52,118 \screen\at\overtimehours\getEmployeesOvertimeData
13:53:54,936 \screen\ksu\ksu002\getPlansResults
13:55:29,226 \screen\ksu\ksu002\getPlansResults


---- ukapsv06
13:50:51,418 \screen\at\correctionofdailyperformance\startScreen
13:51:37,379 \screen\at\correctionofdailyperformance\calculation
13:51:42,047 \screen\at\overtimehours\getEmployeesOvertimeData
13:51:49,036 \screen\at\correctionofdailyperformance\startScreen
13:52:45,741 \screen\at\ktg26\extractOvertime
13:52:48,231 \screen\at\ktg26\extractOvertime
13:52:49,619 \screen\at\correctionofdailyperformance\startScreen
13:52:53,094 \screen\at\overtimehours\getEmployeesOvertimeData
13:52:54,638 \screen\at\correctionofdailyperformance\startScreen
13:52:56,457 \screen\at\correctionofdailyperformance\startScreen
